feature,mean_train,scale_train
Age,36.857466796242306,9.130577166196415
DistanceFromHome,9.273080660835763,8.167361645185725
Education,2.92549400712666,1.023352788746967
JobLevel,2.0845481049562684,1.1137060159339949
MonthlyIncome,65015.4713313897,47325.9879054229
NumCompaniesWorked,2.700356333009394,2.493517972305356
PercentSalaryHike,15.276320051830256,3.696332811571468
StockOptionLevel,0.7907353417557499,0.8466506412428221
TotalWorkingYears,11.261742792355037,7.762061511371152
TrainingTimesLastYear,2.800453514739229,1.2806753569754363
YearsAtCompany,6.919015225137674,6.023809626153757
YearsSinceLastPromotion,2.1360544217687076,3.1532942109137494
YearsWithCurrManager,4.058309037900875,3.5500724007079305
EnvironmentSatisfaction,2.7165532879818595,1.0881140871235595
JobSatisfaction,2.717201166180758,1.1013018503083736
WorkLifeBalance,2.764172335600907,0.6924829997872282
JobInvolvement,2.728862973760933,0.7049407543421355
PerformanceRating,3.159054097829608,0.3657265259633453
avg_work_hours,7.6860821368321135,1.3308688664526225
cluster,1.477162293488824,0.7403717234292294
BusinessTravel_Non-Travel,0.10560414642047296,0.307330295739415
BusinessTravel_Travel_Frequently,0.19144800777453838,0.3934408063402914
BusinessTravel_Travel_Rarely,0.7029478458049887,0.4569597048790129
Department_Human Resources,0.04664723032069971,0.2108821145192434
Department_Research & Development,0.6569484936831875,0.47472852276914906
Department_Sales,0.29640427599611274,0.4566714148787211
EducationField_Human Resources,0.020732102364755426,0.14248607755248485
EducationField_Life Sciences,0.4036281179138322,0.490624561496028
EducationField_Marketing,0.10528020732102365,0.3069141333784841
EducationField_Medical,0.3216715257531584,0.46711771029665905
EducationField_Other,0.05668934240362812,0.23124805050307418
EducationField_Technical Degree,0.09199870424360221,0.28902412124440485
Gender_Female,0.3942338840298024,0.48868551105243413
Gender_Male,0.6057661159701976,0.48868551105243413
JobRole_Healthcare Representative,0.08908325234855848,0.284863873630128
JobRole_Human Resources,0.03595724003887269,0.1861835570818744
JobRole_Laboratory Technician,0.17978620019436345,0.38400927386462397
JobRole_Manager,0.06770327178490444,0.25123602204804113
JobRole_Manufacturing Director,0.09685779073534176,0.2957640260566023
JobRole_Research Director,0.05539358600583091,0.228746883334496
JobRole_Research Scientist,0.1998704243602203,0.399902785469526
JobRole_Sales Executive,0.21768707482993196,0.4126734935538259
JobRole_Sales Representative,0.05766115970197603,0.2331015880765278
MaritalStatus_Divorced,0.2199546485260771,0.4142156456700386
MaritalStatus_Married,0.45383867832847424,0.4978645723302049
MaritalStatus_Single,0.32620667314544866,0.46882393234649083
