Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,in_mean_minutes,out_mean_minutes,work_duration_mean_minutes,in_std_minutes,out_std_minutes,missing_in_rate,missing_out_rate,valid_days_count,late_arrival_rate,early_leave_rate,time_features_imputed
51,0,6,2,1,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,600.0853448275861,1042.504382183908,442.41903735632184,15.547113791926996,22.418679052701158,0.1111111111111111,0.1111111111111111,232,0.4870689655172414,0.0,0
31,1,10,1,2,1,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,599.2843926553672,1062.4225282485877,463.13813559322034,17.592068720073403,25.133169897349465,0.09578544061302682,0.09578544061302682,236,0.4703389830508475,0.0,0
32,0,17,4,3,4,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,601.5036501377411,1022.2980716253444,420.7944214876033,16.366644391302486,23.698447938986217,0.07279693486590039,0.07279693486590039,242,0.5413223140495868,0.004132231404958678,0
38,0,2,5,4,3,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,598.9097872340425,1030.5304964539007,431.62070921985816,16.985360469457934,24.444485654381765,0.09961685823754789,0.09961685823754789,235,0.4765957446808511,0.0,0
32,0,10,1,5,1,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,599.9095918367346,1080.280068027211,480.3704761904762,16.2958665380569,24.35336823509759,0.06130268199233716,0.06130268199233716,245,0.46122448979591835,0.0,0
46,0,8,3,6,4,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,599.3385372714487,1247.1042897327707,647.7657524613221,16.66148241738315,26.005107406590668,0.09195402298850575,0.09195402298850575,237,0.5063291139240507,0.0,0
28,1,11,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,597.8530890804598,1013.2673132183908,415.41422413793106,17.079827184994553,25.887668610055396,0.1111111111111111,0.1111111111111111,232,0.4267241379310345,0.008620689655172414,0
29,0,18,3,8,2,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,600.1631687242799,1003.7004115226338,403.53724279835393,16.45804542748832,23.222909408801044,0.06896551724137931,0.06896551724137931,243,0.48148148148148145,0.0205761316872428,0
31,0,1,3,9,3,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,601.3511594202898,1035.541086956522,434.1899275362319,15.785267918822015,23.20313464968151,0.11877394636015326,0.11877394636015326,230,0.5391304347826087,0.0,0
25,0,7,4,10,4,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,597.8762108262108,1022.6814814814816,424.8052706552707,16.418169116558367,25.416686041201636,0.10344827586206896,0.10344827586206896,234,0.42735042735042733,0.004273504273504274,0
45,0,17,2,11,2,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,599.6439142461965,1103.853042876902,504.2091286307054,17.180540034144386,24.76987842675847,0.07662835249042145,0.07662835249042145,241,0.5228215767634855,0.0,0
36,0,28,1,12,1,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,599.8785615491009,1024.015836791148,424.137275242047,16.47280704103361,24.657187072098004,0.07662835249042145,0.07662835249042145,241,0.5020746887966805,0.004149377593360996,0
55,0,14,4,13,1,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,601.1216157205239,1159.2061863173217,558.0845705967977,15.663801677810502,23.046605713308512,0.12260536398467432,0.12260536398467432,229,0.537117903930131,0.0,0
47,1,1,1,14,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,600.2333333333333,1164.2292198581558,563.9958865248227,17.025185592070486,23.41528434456297,0.09961685823754789,0.09961685823754789,235,0.5063829787234042,0.0,0
28,0,1,3,15,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,600.5094744121715,965.890733056708,365.3812586445367,16.941290956112034,23.15669273440346,0.07662835249042145,0.07662835249042145,241,0.4896265560165975,0.4024896265560166,0
37,0,1,3,16,2,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,600.4407876230662,1002.7512658227847,402.3104781997188,16.19326655065034,25.106595315462553,0.09195402298850575,0.09195402298850575,237,0.5274261603375527,0.05485232067510549,0
21,0,3,2,17,1,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,602.3417767988253,999.484214390602,397.14243759177685,15.905857452616624,24.749920924102167,0.13026819923371646,0.13026819923371646,227,0.5462555066079295,0.05286343612334802,0
37,0,1,3,18,2,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,600.4922086720868,1261.35189701897,660.8596883468834,16.174555100472723,24.65312440385379,0.05747126436781609,0.05747126436781609,246,0.5365853658536586,0.0,0
35,0,7,4,19,1,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,599.3274425287357,1016.942672413793,417.61522988505743,17.449592937129694,26.027003569543105,0.1111111111111111,0.1111111111111111,232,0.5172413793103449,0.017241379310344827,0
38,0,8,3,20,1,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,601.8592352092352,1159.4725829725828,557.6133477633477,17.481847351005452,25.59952805865404,0.11494252873563218,0.11494252873563218,231,0.5151515151515151,0.0,0
26,0,1,4,21,2,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,599.63283045977,1055.079525862069,455.4466954022988,16.9071373934152,24.99199195677652,0.1111111111111111,0.1111111111111111,232,0.5129310344827587,0.0,0
50,0,8,4,22,1,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,599.3105865522174,959.8273962804005,360.5168097281831,15.71869280918644,23.467250184421754,0.10727969348659004,0.10727969348659004,233,0.49356223175965663,0.48068669527896996,0
53,0,11,4,23,2,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,600.205459770115,1104.3319683908046,504.1265086206896,15.750865093913024,25.127587163454532,0.1111111111111111,0.1111111111111111,232,0.5043103448275862,0.0,0
42,0,4,4,24,1,89260,1.0,14,0,10.0,4,20,11,6,2.0,3.0,3.0,1,3,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,599.7960055096419,1008.2163223140495,408.4203168044077,16.90813829882238,27.553400077038006,0.07279693486590039,0.07279693486590039,242,0.48760330578512395,0.01652892561983471,0
29,0,16,4,25,1,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,598.2805916305917,1023.870634920635,425.59004329004335,15.886836518828652,25.24951795361268,0.11494252873563218,0.11494252873563218,231,0.47186147186147187,0.012987012987012988,0
55,0,1,4,26,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,601.5854080221301,1163.305532503458,561.7201244813277,16.24041819590036,23.2913276521736,0.07662835249042145,0.07662835249042145,241,0.5394190871369294,0.0,0
26,0,9,3,27,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,600.2957461645747,1258.9231520223152,658.6274058577407,15.947437714064927,23.03910401337612,0.0842911877394636,0.0842911877394636,239,0.5188284518828452,0.0,0
