feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max,source
Age,4410.0,,,,36.923809523809524,9.133301271011144,18.0,30.0,36.0,43.0,60.0,general
Attrition,4410,2,No,3699,,,,,,,,general
BusinessTravel,4410,3,Travel_Rarely,3129,,,,,,,,general
Department,4410,3,Research & Development,2883,,,,,,,,general
DistanceFromHome,4410.0,,,,9.19251700680272,8.105025518905281,1.0,2.0,7.0,14.0,29.0,general
Education,4410.0,,,,2.912925170068027,1.0239326286269588,1.0,2.0,3.0,4.0,5.0,general
EducationField,4410,6,Life Sciences,1818,,,,,,,,general
EmployeeCount,4410.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,general
EmployeeID,4410.0,,,,2205.5,1273.201672948948,1.0,1103.25,2205.5,3307.75,4410.0,general
Gender,4410,2,Male,2646,,,,,,,,general
JobLevel,4410.0,,,,2.0639455782312925,1.1066888067465828,1.0,1.0,2.0,3.0,5.0,general
JobRole,4410,9,Sales Executive,978,,,,,,,,general
MaritalStatus,4410,3,Married,2019,,,,,,,,general
MonthlyIncome,4410.0,,,,65029.31292517007,47068.88855947339,10090.0,29110.0,49190.0,83800.0,199990.0,general
NumCompaniesWorked,4391.0,,,,2.6948303347756775,2.498886888807146,0.0,1.0,2.0,4.0,9.0,general
Over18,4410,1,Y,4410,,,,,,,,general
PercentSalaryHike,4410.0,,,,15.209523809523809,3.659107516298374,11.0,12.0,14.0,18.0,25.0,general
StandardHours,4410.0,,,,8.0,0.0,8.0,8.0,8.0,8.0,8.0,general
StockOptionLevel,4410.0,,,,0.7938775510204081,0.851883387522787,0.0,0.0,1.0,1.0,3.0,general
TotalWorkingYears,4401.0,,,,11.279936378095888,7.782222140911733,0.0,6.0,10.0,15.0,40.0,general
TrainingTimesLastYear,4410.0,,,,2.7993197278911564,1.2889781697042313,0.0,2.0,3.0,3.0,6.0,general
YearsAtCompany,4410.0,,,,7.0081632653061225,6.125135444967656,0.0,3.0,5.0,9.0,40.0,general
YearsSinceLastPromotion,4410.0,,,,2.1877551020408164,3.2216993206893805,0.0,0.0,1.0,3.0,15.0,general
YearsWithCurrManager,4410.0,,,,4.12312925170068,3.5673267440707894,0.0,2.0,3.0,7.0,17.0,general
EmployeeID,4410.0,,,,2205.5,1273.201672948948,1.0,1103.25,2205.5,3307.75,4410.0,employee_survey
EnvironmentSatisfaction,4385.0,,,,2.7236031927023947,1.0927564120538003,1.0,2.0,3.0,4.0,4.0,employee_survey
JobSatisfaction,4390.0,,,,2.728246013667426,1.1012531951148052,1.0,2.0,3.0,4.0,4.0,employee_survey
WorkLifeBalance,4372.0,,,,2.7614364135407135,0.7062453332062315,1.0,2.0,3.0,3.0,4.0,employee_survey
EmployeeID,4410.0,,,,2205.5,1273.201672948948,1.0,1103.25,2205.5,3307.75,4410.0,manager_survey
JobInvolvement,4410.0,,,,2.7299319727891156,0.7113997363278403,1.0,2.0,3.0,3.0,4.0,manager_survey
PerformanceRating,4410.0,,,,3.1537414965986397,0.3607416773707619,3.0,3.0,3.0,3.0,4.0,manager_survey
